load,flume,set,paus,process,continu,agent,one,cluster,replay,kill,connect,file,netcat,fail,disk,pointer,event,size,hdfs,detect,java,downstream,open,space,collector,someth,system,send,checkpoint,delet,tail,handler,master,requir,jvm,auto,test,termin,hold,fill,start,channel,refer,node,sourc,trace,exec,handl,max,end,stop,alloc,sort,step,slow,sink,releas,affect,surviv,grow,valu,improve,spool,exception,eof,scenario,exit,default,remov,memori,put,batch,method,queue,directori,amount,instanc,error,allow,time,push,output,top
0,2.0,4.0,0,0,1.0,1.0,0,0,0,0,0,6.0,0,0,1.0,0,0,0,0,2.0,0,0,0,2.0,2.0,0,0,0,0,2.0,2.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,3.0,0,0,2.0,0,0,1.0,0,0,0,0,3.0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,1.0,0
0,0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,3.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,3.0,0,0,1.0,0,0
0,0,4.0,0,0,0,0,0,0,3.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,2.0,0,0,0,3.0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,6.0,0,0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,4.0,0,0,0,0,0,0,0,0,1.0,6.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,2.0,0,0,0,0,0,3.0,0,0,0,0,0
0,0,0,1.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0
0,2.0,0,0,0,0,0,1.0,0,3.0,0,0,6.0,0,0,0,1.0,3.0,2.0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,2.0,0,0,0,0,0,2.0,0,0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,3.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
