TF,DF,Word
8,8,code
4,2,queri
7,6,consum
4,3,abil
11,7,disk
3,2,middl
8,7,depend
18,14,send
14,9,tail
3,2,program
122,72,sourc
5,5,rollback
2,2,string
5,5,downstream
2,2,end
4,3,multi
6,5,spool
20,17,failur
5,5,affect
3,2,runnabl
12,9,list
20,13,race
3,3,prevent
3,2,sync
2,2,second
5,3,port
17,8,append
60,33,hdfs
8,8,appear
8,8,current
8,5,delet
11,9,method
2,2,gener
4,4,lack
170,95,sink
7,5,address
7,6,path
11,9,valu
9,4,thrift
4,3,search
5,5,step
15,11,queue
3,3,amount
2,2,chann
14,12,chang
5,3,semant
6,3,put
2,2,tthreadpoolserv
3,2,select
4,3,zip
20,13,memori
2,2,upgrad
2,2,rhel
2,2,sort
5,5,relat
3,2,flag
44,32,agent
4,4,loss
14,14,hold
6,6,setup
9,8,work
2,2,remain
2,2,dorollback
2,2,eventqueu
24,17,process
9,6,lock
5,4,indic
2,2,tag
4,4,serial
5,3,multipl
4,2,newlin
4,3,secur
2,2,delay
84,58,config
6,5,updat
6,4,map
3,3,watch
4,3,netcat
46,35,data
7,6,lifecycle
4,3,alloc
13,12,attempt
5,4,disabl
2,2,issu
3,3,environ
10,10,allow
5,4,enter
5,5,order
4,4,jira
7,4,rotat
2,2,cross
6,5,reconnect
24,11,hbase
2,2,pointer
4,3,paramet
32,26,write
3,3,group
7,4,monitor
4,3,fix
21,18,filechannel
3,2,diskfailov
4,4,pend
19,12,restart
2,2,persist
2,2,crea
2,2,crash
22,20,handl
9,8,break
3,3,mention
11,7,interrupt
4,4,name
4,3,acquisit
2,2,revert
3,2,channelprocessor
13,9,mode
2,2,timeout
2,2,truncat
4,4,mean
5,4,failov
2,2,resum
14,13,continu
16,10,replay
13,11,connect
24,21,happen
37,24,collector
81,56,event
5,5,network
3,2,space
5,5,open
3,3,content
4,2,rpcclient
3,2,reader
2,2,correct
7,7,driver
2,2,dataloss
9,9,base
4,4,releas
19,12,thread
16,14,recov
6,3,elasticsearch
4,3,heartbeat
15,11,assign
5,5,number
4,2,reopen
25,17,messag
2,2,kerbero
7,6,miss
8,7,size
8,6,system
2,2,htabl
4,4,grow
25,13,checkpoint
3,3,attach
31,19,master
3,2,termin
3,3,store
2,2,flume
3,3,consol
8,5,selector
6,5,pars
9,9,provid
20,10,remov
20,13,charact
6,3,corrupt
5,4,memorychannel
4,2,deliv
3,3,null
2,2,agenteechain
2,2,lib
2,2,build
87,48,channel
6,6,begin
7,6,trace
6,3,index
12,9,buffer
3,2,noclassdeffounderror
3,2,object
5,2,reach
13,10,class
3,2,rollsiz
5,5,flow
2,2,declar
4,4,clean
2,2,someth
2,2,text
2,2,help
2,2,involv
2,2,slow
24,15,transact
6,2,writer
2,2,solut
5,5,count
14,12,stop
7,7,report
5,4,requir
3,2,emb
4,4,patch
2,2,respond
3,3,set
4,4,startup
2,2,fanout
14,14,result
2,2,respons
40,34,fail
37,29,close
20,19,detect
2,2,boundari
15,14,state
5,3,experi
2,2,interface
2,2,roller
10,7,improve
6,6,bodi
3,3,instanc
3,3,context
6,6,load
3,3,trunk
6,4,header
6,5,shutdown
3,2,linux
4,3,cancel
3,3,assum
11,8,duplic
2,2,coupl
2,2,decomiss
9,6,compon
11,7,catch
3,3,outofmemory
79,46,exception
5,3,servic
13,11,properti
18,14,batch
3,3,outofmemori
3,2,invok
38,33,error
8,7,loop
2,2,cluster
3,3,conf
4,3,escapedcustomdf
29,25,return
6,5,decor
14,10,perform
10,5,hadoop
12,12,read
2,2,complet
15,11,hang
4,3,capabl
5,4,user
20,17,implement
4,4,scenario
3,3,entri
3,2,clobber
3,3,exampl
11,9,command
3,2,paus
10,8,kill
4,3,multiplex
2,2,scenerio
2,2,expos
8,7,add
2,2,input
5,4,save
3,3,match
9,7,format
7,5,bucketwrit
2,2,know
6,4,background
3,3,insert
4,4,server
3,2,collect
2,2,singl
14,12,lose
8,6,output
2,2,manag
3,2,underli
3,2,retransmit
3,3,back
8,7,flush
4,3,transport
2,2,avoid
3,3,exec
15,12,exit
2,2,unit
25,16,condit
5,5,refer
6,5,machin
9,4,host
3,3,async
38,28,throw
3,2,directdriv
3,2,ingest
3,2,idl
6,5,commit
3,3,produc
21,17,block
2,2,encod
2,2,surviv
2,2,wrap
2,2,durabl
7,4,jdbc
9,8,support
29,21,start
3,3,includ
5,4,replac
3,2,function
2,2,properli
2,2,unexpect
2,2,forc
3,3,regard
2,2,idea
7,5,translat
2,2,reset
13,10,default
13,7,bucket
2,2,non-determin
9,4,record
2,2,limit
18,15,problem
12,8,deadlock
16,16,expect
3,3,featur
4,3,supervisor
20,18,creat
4,4,exist
114,67,file
11,9,check
3,3,fill
4,2,encrypt
6,4,detail
7,4,field
2,2,valid
3,3,branch
26,20,test
85,49,node
3,3,repeat
9,8,directori
3,3,ignor
20,19,time
4,4,push
5,3,decommiss
2,2,invari
7,7,stick
