jira,random,follow,group,monitor,polici,add,requir,factor,save,local,count,handl,stop,report,implement,restart,enabl,drop,list,method,default,mode,rack,design,fail,server,hdfs,network,avoid,current,condit,topolog,refer,machin,gener,put,improve,thread,manag,queue,chang,block,number,assum,size,support,system,custom,start,call,store,option,tool,case,exception,provid,remov,work,balanc,problem,loop,comput,creat,process,lock,abstract,defect,cluster,replica,exist,check,multipl,hadoop,test,config,updat,node,choos,stay,class,reduc,placement,scenario,time,decommiss
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,2.0,0,0,0,0,5.0,0,0,0,2.0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,1.0,0,0
0,0,0,4.0,0,0,0,0,0,0,1.0,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,4.0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,0,2.0,0,2.0,1.0,0,0,0,0,0,3.0,0,0,0,1.0,0,0,0,1.0,0,0,2.0,0,0,2.0,0,0,2.0,9.0,2.0,0,1.0,0,0,0,0,0
0,0,1.0,0,0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,5.0,0,7.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0
0,0,0,4.0,0,5.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,5.0,0,0,0,0,0,0,4.0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,1.0,0,0,9.0,0,0,0,0,5.0,0,0,0
0,0,0,0,0,0,0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,8.0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,1.0,0,0,0,7.0,0,0,0,0,0,0,0,9.0,0,0,0,1.0,0,0,0,0
0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,2.0,0,2.0,0,0,0,9.0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,5.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,9.0,0,0,0,0,5.0,0,0,1.0
0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,8.0,0,3.0,0,0,0,0,0,0,0,0,0,0,1.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,1.0,0
0,1.0,0,0,2.0,5.0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,5.0,0,7.0,0,0,0,0,4.0,0,0,1.0,5.0,0,0,0,0,0,1.0,0,0,0,8.0,1.0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,3.0,0,0,0,1.0,0,0,2.0,0,0,0,2.0,7.0,0,2.0,0,0,0,0,2.0,9.0,2.0,1.0,0,0,5.0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,5.0,0,7.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,3.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,5.0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,5.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
